Rank,Club Name,Games Played,Goal Against,yellow card
1, Newcastle United Newcastle United,15,30,37
2, Leeds United Leeds United,14,20,36
3, Brighton & Hove Albion Brighton & Hove Albion,15,16,35
4, Watford Watford,15,29,35
5, Manchester United Manchester United,14,24,34
6, Burnley Burnley,14,21,32
7, Aston Villa Aston Villa,14,23,31
8, Crystal Palace Crystal Palace,14,20,28
9, Southampton Southampton,15,21,28
10, Everton Everton,14,24,28
11, Wolverhampton Wolverhampton,15,13,27
12, Norwich City Norwich City,14,28,27
13, Brentford Brentford,14,19,26
14, Tottenham Hotspur Tottenham Hotspur,13,17,24
15, Manchester City Manchester City,15,9,21
16, Chelsea Chelsea,15,9,21
17, Leicester City Leicester City,14,25,20
18, Liverpool Liverpool,15,12,19
19, Arsenal Arsenal,14,20,19
20, West Ham United West Ham United,15,19,18
